,0
VOO,0.234
VT,0.017
QQQ,0.021
SMH,0.15
VGK,0.018
BBJP,0.015
VWO,0.014
VDC,0.01
ARMY.PA,0.004
ITA,0.125
CIBR,0.013
ROBO,0.026
SCHD,0.014
COPX,0.107
URA,0.068
SLV,0.142
GLD,0.01
SCHP,0.005
BIL,0.0
BND,0.006
