Date,0
2022-02-28,1.999
2022-03-31,1.986
2022-04-30,-0.084
2022-05-31,-0.454
2022-06-30,-0.953
2022-07-31,-0.5
2022-08-31,-0.827
2022-09-30,-1.011
2022-10-31,-0.998
2022-11-30,-0.307
2022-12-31,-0.687
2023-01-31,-0.009
2023-02-28,-0.441
2023-03-31,-0.288
2023-04-30,0.304
2023-05-31,0.288
2023-06-30,1.638
2023-07-31,1.373
2023-08-31,1.695
2023-09-30,2.399
2023-10-31,1.409
2023-11-30,1.286
2023-12-31,2.273
2024-01-31,1.386
2024-02-29,2.779
2024-03-31,2.835
2024-04-30,2.49
2024-05-31,3.651
2024-06-30,2.924
2024-07-31,2.446
2024-08-31,3.175
2024-09-30,11.615
2024-10-31,13.546
2024-11-30,10.402
2024-12-31,2.755
2025-01-31,3.538
2025-02-28,2.392
2025-03-31,0.935
2025-04-30,1.229
2025-05-31,1.493
2025-06-30,2.878
2025-07-31,2.941
2025-08-31,3.467
2025-09-30,4.376
2025-10-31,5.407
2025-11-30,5.036
2025-12-31,12.541
2026-01-31,14.248
2026-02-28,20.5
