Date,0
2019-02-28,1.237
2019-03-31,1.078
2019-04-30,1.051
2019-05-31,0.818
2019-06-30,0.887
2019-07-31,0.78
2019-08-31,0.82
2019-09-30,0.808
2019-10-31,0.934
2019-11-30,0.905
2019-12-31,0.981
2020-01-31,0.788
2020-02-29,0.442
2020-03-31,0.038
2020-04-30,0.285
2020-05-31,0.387
2020-06-30,0.46
2020-07-31,0.532
2020-08-31,0.627
2020-09-30,0.503
2020-10-31,0.444
2020-11-30,0.593
2020-12-31,0.674
2021-01-31,0.581
2021-02-28,0.722
2021-03-31,0.797
2021-04-30,0.88
2021-05-31,0.899
2021-06-30,0.923
2021-07-31,0.891
2021-08-31,0.907
2021-09-30,0.819
2021-10-31,1.085
2021-11-30,1.029
2021-12-31,1.212
2022-01-31,0.987
2022-02-28,0.987
2022-03-31,1.024
2022-04-30,0.775
2022-05-31,0.901
2022-06-30,0.605
2022-07-31,0.695
2022-08-31,0.608
2022-09-30,0.45
2022-10-31,0.502
2022-11-30,0.606
2022-12-31,0.51
2023-01-31,0.624
2023-02-28,0.69
2023-03-31,1.099
2023-04-30,0.94
2023-05-31,0.807
2023-06-30,0.831
2023-07-31,0.763
2023-08-31,0.585
2023-09-30,0.587
2023-10-31,0.582
2023-11-30,0.537
2023-12-31,0.47
2024-01-31,0.488
2024-02-29,0.454
2024-03-31,0.504
2024-04-30,0.392
2024-05-31,0.447
2024-06-30,0.452
2024-07-31,0.46
2024-08-31,0.462
2024-09-30,0.6
2024-10-31,0.467
2024-11-30,0.544
2024-12-31,0.383
2025-01-31,0.554
2025-02-28,0.459
2025-03-31,0.371
2025-04-30,0.579
2025-05-31,0.739
2025-06-30,1.123
2025-07-31,1.022
2025-08-31,1.233
2025-09-30,1.674
2025-10-31,1.637
2025-11-30,1.491
2025-12-31,1.716
2026-01-31,1.73
2026-02-28,1.991
