,0
VOO,0.236
VT,0.017
QQQ,0.019
SMH,0.127
VGK,0.018
BBJP,0.013
VWO,0.016
VDC,0.011
ARMY.PA,0.002
ITA,0.146
CIBR,0.016
ROBO,0.025
SCHD,0.015
COPX,0.119
URA,0.065
SLV,0.14
GLD,0.007
SCHP,0.004
BIL,0.0
BND,0.003
