Date,0
2017-02-28,7.669
2017-03-31,5.461
2017-04-30,4.346
2017-05-31,6.779
2017-06-30,4.491
2017-07-31,4.209
2017-08-31,6.971
2017-09-30,5.647
2017-10-31,16.618
2017-11-30,18.244
2017-12-31,20.983
2018-01-31,17.325
2018-02-28,2.612
2018-03-31,2.328
2018-04-30,1.791
2018-05-31,1.794
2018-06-30,1.544
2018-07-31,0.777
2018-08-31,0.125
2018-09-30,0.136
2018-10-31,-0.968
2018-11-30,-0.837
2018-12-31,-1.405
2019-01-31,-0.877
2019-02-28,-0.238
2019-03-31,0.115
2019-04-30,0.546
2019-05-31,-0.173
2019-06-30,0.799
2019-07-31,0.692
2019-08-31,0.897
2019-09-30,0.978
2019-10-31,3.565
2019-11-30,3.486
2019-12-31,5.417
2020-01-31,3.784
2020-02-29,1.762
2020-03-31,-0.237
2020-04-30,0.532
2020-05-31,1.381
2020-06-30,1.137
2020-07-31,1.848
2020-08-31,2.134
2020-09-30,1.753
2020-10-31,1.499
2020-11-30,2.202
2020-12-31,2.44
2021-01-31,2.393
2021-02-28,3.047
2021-03-31,12.826
2021-04-30,10.79
2021-05-31,10.059
2021-06-30,8.926
2021-07-31,7.182
2021-08-31,6.03
2021-09-30,5.185
2021-10-31,6.613
2021-11-30,3.979
2021-12-31,3.075
2022-01-31,1.269
2022-02-28,1.063
2022-03-31,0.963
2022-04-30,-0.627
2022-05-31,-0.867
2022-06-30,-1.287
2022-07-31,-0.974
2022-08-31,-1.308
2022-09-30,-1.466
2022-10-31,-1.582
2022-11-30,-0.949
2022-12-31,-1.244
2023-01-31,-0.563
2023-02-28,-0.886
2023-03-31,-0.566
2023-04-30,-0.083
2023-05-31,-0.234
2023-06-30,0.565
2023-07-31,0.298
2023-08-31,0.504
2023-09-30,1.053
2023-10-31,0.433
2023-11-30,0.247
2023-12-31,1.166
2024-01-31,0.282
2024-02-29,1.062
2024-03-31,0.984
2024-04-30,0.565
2024-05-31,1.437
2024-06-30,1.159
2024-07-31,1.069
2024-08-31,1.781
2024-09-30,4.733
2024-10-31,4.807
2024-11-30,3.223
2024-12-31,0.754
2025-01-31,1.251
2025-02-28,1.308
2025-03-31,0.47
2025-04-30,0.991
2025-05-31,0.777
2025-06-30,1.665
2025-07-31,1.266
2025-08-31,1.763
2025-09-30,2.269
2025-10-31,4.0
2025-11-30,3.969
2025-12-31,20.893
2026-01-31,24.01
2026-02-28,26.653
