ticker,window_months,cagr,vol_annual,sharpe,sortino,beta_base,beta_local,treynor,skewness,kurtosis,max_drawdown,ttr_months,recovered
VOO,60,0.148,0.145,0.629,1.008,0.764,0.764,0.123,-0.399,0.315,-0.156,,False
QQQ,60,0.155,0.19,0.608,0.994,0.793,0.793,0.15,-0.347,0.046,-0.284,,False
GLD,60,0.252,0.126,1.694,4.853,0.109,0.109,2.052,0.427,0.021,-0.094,,False
BND,60,0.009,0.069,-0.255,-0.343,0.155,1.0,-0.114,-0.044,-0.171,-0.113,,False
VT,60,0.122,0.126,0.666,1.051,0.771,0.771,0.114,-0.473,0.153,-0.142,,False
