,VOO,QQQ,GLD,BND,VT
VOO,1.0,0.895,-0.194,0.64,0.96
QQQ,0.895,1.0,-0.228,0.526,0.807
GLD,-0.194,-0.228,1.0,0.066,-0.105
BND,0.64,0.526,0.066,1.0,0.624
VT,0.96,0.807,-0.105,0.624,1.0
