Date,0
2022-02-28,0.685
2022-03-31,0.622
2022-04-30,-0.538
2022-05-31,-0.772
2022-06-30,-1.242
2022-07-31,-0.838
2022-08-31,-1.184
2022-09-30,-1.406
2022-10-31,-1.559
2022-11-30,-0.751
2022-12-31,-1.015
2023-01-31,-0.41
2023-02-28,-0.666
2023-03-31,-0.41
2023-04-30,-0.056
2023-05-31,-0.159
2023-06-30,0.35
2023-07-31,0.19
2023-08-31,0.312
2023-09-30,0.564
2023-10-31,0.241
2023-11-30,0.145
2023-12-31,0.64
2024-01-31,0.171
2024-02-29,0.58
2024-03-31,0.543
2024-04-30,0.324
2024-05-31,0.78
2024-06-30,0.631
2024-07-31,0.585
2024-08-31,0.93
2024-09-30,1.817
2024-10-31,1.821
2024-11-30,1.508
2024-12-31,0.475
2025-01-31,0.776
2025-02-28,0.812
2025-03-31,0.316
2025-04-30,0.629
2025-05-31,0.529
2025-06-30,0.987
2025-07-31,0.753
2025-08-31,0.992
2025-09-30,1.16
2025-10-31,1.832
2025-11-30,1.816
2025-12-31,3.288
2026-01-31,3.361
2026-02-28,3.756
