ticker,window_months,cagr,vol_annual,sharpe,sortino,beta_base,beta_local,treynor,skewness,kurtosis,max_drawdown,ttr_months,recovered
VOO,36,0.218,0.115,1.391,2.674,1.0,1.0,0.16,-0.263,-0.206,-0.083,,False
QQQ,36,0.282,0.15,1.444,3.03,1.146,1.146,0.189,-0.129,-0.47,-0.101,,False
GLD,36,0.418,0.145,2.197,7.124,-0.173,-0.173,-1.846,0.327,-0.572,-0.072,,False
BND,36,0.05,0.055,0.092,0.135,0.269,1.0,0.019,0.171,0.112,-0.06,,False
VT,36,0.205,0.107,1.381,2.626,0.885,0.885,0.167,-0.193,-0.421,-0.097,,False
