,0
VOO,0.021
VT,0.132
QQQ,0.015
SMH,0.108
VGK,0.015
BBJP,0.012
VWO,0.012
VDC,0.008
ARMY.PA,0.002
ITA,0.013
CIBR,0.009
ROBO,0.046
SCHD,0.04
COPX,0.147
URA,0.019
SLV,0.064
GLD,0.031
SCHP,0.082
BIL,0.0
BND,0.224
