Date,QQQ,SPY,URA,GLD,SCHD,VDC,SCHP,CIBR,VOO,COPX,VT,VGK,BND,SMH,VWO,SLV,BIL,ITA,ROBO,ARMY.PA,BBJP
2014-04-30,-0.003193969757638193,0.0069518007748203825,-0.10755834092038086,0.0049348807324614,0.018181822324510932,0.02554419456763246,0.013531637499239801,,0.0072363978404006435,0.02192987911212607,0.0073738649602579365,0.02646320102874089,0.008025492819608848,-0.020609649751245684,0.008871385171145052,-0.030462279578027163,0.0,-0.00439716853350447,-0.041161299784782,,
2014-05-31,0.04485665446450282,0.023206165120051248,-0.021498518853167115,-0.03051039187154414,0.01332628577477002,0.020506737481144066,0.01930870179248534,,0.022945153015369035,0.06330459228277086,0.020462813424072746,0.0077675490933766245,0.010530253715047122,0.037385449431588835,0.031020949174751067,-0.020585004312715927,0.0,0.011409621037274498,0.008432229879848707,,
2014-06-30,0.0312385054614448,0.02064477420531463,-0.036617567025193365,0.06319017654797743,0.013595795980688274,-0.0009488414478961982,0.0040012648717731025,,0.020889411561575644,0.026236176043849646,0.022064621301830067,-0.000887126914128733,0.0008404013616836181,0.06797586890743057,0.03173006260365696,0.12002212862007222,-0.00021804991206442192,-0.012964511879719809,0.060053269046005386,,
2014-07-31,0.011819362879669226,-0.013437844314943881,0.02557003919960099,-0.03631673024297155,-0.017246165031483907,-0.03461666333609803,-0.000666012125684956,,-0.0137658178612311,0.050147641838509616,-0.017515354594552,-0.043202488700690767,-0.0027789650789614706,-0.014750487362846676,0.013680130876603469,-0.03308642352068869,-0.00021881321235073248,-0.048033818938771455,-0.02581559588503024,,
2014-08-31,0.05009480131204902,0.03946375940237057,0.020889480626537837,0.0038090706137288155,0.034299406969710455,0.04748308898965514,0.006539260218874965,,0.039726398437568866,-0.05149821165988777,0.02649633939966667,0.007322395952201521,0.011415105911974033,0.059885286614818956,0.0384262547221812,-0.04443313802979454,0.000218861102051493,0.05854263462105691,0.006625069934265371,,
2014-09-30,-0.007566276036357844,-0.01379620206289156,-0.14389441871782038,-0.061763293138879294,-0.0023101116119895737,0.0030730213315457444,-0.026082118893020256,,-0.01380603718481932,-0.11648576672692279,-0.03335919941986587,-0.03974970421116231,-0.005716271604644829,-0.011416688747400983,-0.07165802237395302,-0.1261356931311387,0.0,-0.007714284065538646,-0.03985394591469216,,
2014-10-31,0.026419646097548988,0.023551034180462782,-0.1133383071022176,-0.03054810644807593,0.019709290727855988,0.03676598399190478,0.009330057947373849,,0.024032483164064145,-0.07485999902893625,0.00944074429293651,-0.019015026007814018,0.007227945765532651,0.006459291090896713,0.022297328285167284,-0.05198778970262741,-0.00021881321235073248,0.03364922525500669,0.0,,
2014-11-30,0.045463627195402756,0.02747189114960147,0.11913018001840125,-0.00488197260677703,0.029756316472551392,0.05138740986975332,0.0018306227550493048,,0.027577634691901443,-0.03864758161745052,0.01263313459186377,0.020675805618033616,0.008310276670968175,0.08031890713125578,-0.011022712021255154,-0.04322581137380288,0.0,0.02652881288005493,0.0019039620254632794,,
2014-12-31,-0.022406599029294205,-0.0025364283870958904,-0.08055353256258124,0.013112132840068735,-0.009052689556512172,-0.0029408128328937133,-0.00895296213742025,,-0.008577350819768959,-0.05363597144004317,-0.01981886070053518,-0.04689898651564017,0.0005684055572059421,-0.005332750146160414,-0.04680310957060985,0.015509136688732106,-0.00021855428742256766,0.0069266330082764505,-0.020321989519220818,,
2015-01-31,-0.020822897434987886,-0.029629573341081294,-0.10925101433748097,0.08689905756357263,-0.031116958813785844,-0.014372541676649253,0.030972749969756075,,-0.02871545182613633,-0.17119580258962885,-0.01630046280780395,0.005151579528420713,0.024037176193680843,-0.034602568590377136,-0.001999070334549269,0.09827360256795492,-0.0002189089455401083,-0.0024412499891884876,-0.03307396924432948,,
