DATE,rf
2014-03-31,4.165712110459907e-05
2014-04-30,2.4996563158685703e-05
2014-05-31,3.3327223783574667e-05
2014-06-30,3.3327223783574667e-05
2014-07-31,2.4996563158685703e-05
2014-08-31,2.4996563158685703e-05
2014-09-30,1.6665139084048874e-05
2014-10-31,8.332951413336787e-06
2014-11-30,1.6665139084048874e-05
2014-12-31,3.3327223783574667e-05
2015-01-31,1.6665139084048874e-05
2015-02-28,1.6665139084048874e-05
2015-03-31,2.4996563158685703e-05
2015-04-30,8.332951413336787e-06
2015-05-31,8.332951413336787e-06
2015-06-30,8.332951413336787e-06
2015-07-31,6.66422347088691e-05
2015-08-31,6.66422347088691e-05
2015-09-30,-8.333715302177858e-06
2015-10-31,6.66422347088691e-05
2015-11-30,0.0001831487316386049
2015-12-31,0.0001332356553898073
2016-01-31,0.000266276353299455
2016-02-29,0.0002745849373302356
2016-03-31,0.00017483178814159395
2016-04-30,0.0001831487316386049
2016-05-31,0.00028289276228066207
2016-06-30,0.00021640890030050208
2016-07-31,0.00022472204186096967
2016-08-31,0.0002745849373302356
2016-09-30,0.00023303442347044623
2016-10-31,0.00028289276228066207
2016-11-30,0.0003991226892567923
2016-12-31,0.00041571484472902043
2017-01-31,0.00043230397371596396
2017-02-28,0.00044059740363810995
2017-03-31,0.0006228618011265841
2017-04-30,0.0006559615803181096
2017-05-31,0.0007965014393356284
2017-06-30,0.0008377954090970086
2017-07-31,0.0008708170963593886
2017-08-31,0.0008212800701368206
2017-09-30,0.0008625627980207717
2017-10-31,0.0009368245400691588
2017-11-30,0.0010357460146983577
2017-12-31,0.001134560077404645
2018-01-31,0.0011921521074573782
2018-02-28,0.0013482898900922802
2018-03-31,0.0014057468926966799
2018-04-30,0.0015205522240770986
2018-05-31,0.0015615190697231274
2018-06-30,0.0015615190697231274
2018-07-31,0.0016433975062259965
2018-08-31,0.0017088472872288651
2018-09-30,0.001774250061985505
2018-10-31,0.0018885920210915952
2018-11-30,0.001913075204727166
2018-12-31,0.001978331538843303
2019-01-31,0.001945709215699809
2019-02-28,0.001978331538843303
2019-03-31,0.001937551809032545
2019-04-30,0.0019620218377029985
2019-05-31,0.0018967538135683526
2019-06-30,0.001717025203279432
2019-07-31,0.0016843091316907088
2019-08-31,0.0016106549662961989
2019-09-30,0.0015205522240770986
2019-10-31,0.001249707718735893
2019-11-30,0.0012907965990995862
2019-12-31,0.0012579269787644787
2020-01-31,0.0012579269787644787
2020-02-29,0.0010357460146983577
2020-03-31,9.162048384192545e-05
2020-04-30,7.496908027748717e-05
2020-05-31,0.00011659187244639213
2020-06-30,0.0001332356553898073
2020-07-31,7.496908027748717e-05
2020-08-31,9.162048384192545e-05
2020-09-30,8.329516327321151e-05
2020-10-31,7.496908027748717e-05
2020-11-30,6.66422347088691e-05
2020-12-31,7.496908027748717e-05
2021-01-31,4.99862552685304e-05
2021-02-28,3.3327223783574667e-05
2021-03-31,2.4996563158685703e-05
2021-04-30,8.332951413336787e-06
2021-05-31,8.332951413336787e-06
2021-06-30,4.165712110459907e-05
2021-07-31,4.99862552685304e-05
2021-08-31,3.3327223783574667e-05
2021-09-30,3.3327223783574667e-05
2021-10-31,4.165712110459907e-05
2021-11-30,4.165712110459907e-05
2021-12-31,4.99862552685304e-05
2022-01-31,0.00019978033674417084
2022-02-28,0.0003078116840986578
2022-03-31,0.0004240097874610438
2022-04-30,0.000689049320240942
2022-05-31,0.0009368245400691588
2022-06-30,0.0013729187604631932
2022-07-31,0.0019293936717392768
2022-08-31,0.0023607713389290907
2022-09-30,0.0026445278387947635
2022-10-31,0.003321961347044766
2022-11-30,0.0034905363507502507
2022-12-31,0.0035145930840192463
2023-01-31,0.0037388172355212745
2023-02-28,0.003850723023570035
2023-03-31,0.0038187639418887365
2023-04-30,0.004034270873583212
2023-05-31,0.004281078909445624
2023-06-30,0.004209493678221321
2023-07-31,0.004296979118938893
2023-08-31,0.0043287712331259165
2023-09-30,0.0043287712331259165
2023-10-31,0.0043367175322408524
2023-11-30,0.004273127766158069
2023-12-31,0.0042333616592649115
2024-01-31,0.004249270180617826
2024-02-29,0.004273127766158069
2024-03-31,0.0042572234018702915
2024-04-30,0.004273127766158069
2024-05-31,0.004273127766158069
2024-06-30,0.004249270180617826
2024-07-31,0.004193578223375516
2024-08-31,0.004058184707589341
2024-09-30,0.003690815569153072
2024-10-31,0.0036267740400885984
2024-11-30,0.003586725245666944
2024-12-31,0.003458450834976645
2025-01-31,0.003434379290046863
2025-02-28,0.003434379290046863
2025-03-31,0.003442403844149622
2025-04-30,0.003434379290046863
2025-05-31,0.003474495003497502
2025-06-30,0.0034664732719604796
2025-07-31,0.0034664732719604796
2025-08-31,0.003313926189799865
2025-09-30,0.0031611235488977485
2025-10-31,0.0030564266642594262
2025-11-30,0.0030564266642594262
2025-12-31,0.002927403719995114
2026-01-31,0.002935473005047262
2026-02-28,0.0029435415760119543
2026-03-31,0.0029435415760119543
