Date,QQQ,SPY,URA,GLD,SCHD,VDC,SCHP,CIBR,VOO,COPX,VT,VGK,BND,SMH,VWO,SLV,BIL,ITA,ROBO,ARMY.PA,BBJP
2014-03-31,80.01863098144531,152.9895477294922,23.23731231689453,123.61000061035156,8.37114143371582,82.522216796875,19.664033889770508,,140.32211303710938,21.776248931884766,46.05035400390625,40.11001968383789,57.750732421875,20.10061264038086,28.672197341918945,19.040000915527344,74.63198852539062,48.18202209472656,26.425907135009766,,
2014-04-30,79.76305389404297,154.0531005859375,20.737945556640625,124.22000122070312,8.523344039916992,84.63018035888672,19.93012046813965,,141.33753967285156,22.253799438476562,46.389923095703125,41.17145919799805,58.214210510253906,19.68634605407715,28.926559448242188,18.459999084472656,74.63198852539062,47.970157623291016,25.33818244934082,,
2014-05-31,83.34095764160156,157.62808227539062,20.292110443115234,120.43000030517578,8.63692855834961,86.36566925048828,20.314945220947266,,144.58055114746094,23.662567138671875,47.33919143676758,41.49126052856445,58.82722091674805,20.42232894897461,29.823888778686523,18.079999923706055,74.63198852539062,48.517478942871094,25.55183982849121,,
2014-06-30,85.94440460205078,160.8822784423828,19.549062728881836,128.0399932861328,8.754354476928711,86.28372192382812,20.396230697631836,,147.6007537841797,24.283382415771484,48.38371276855469,41.45445251464844,58.87665939331055,21.81055450439453,30.77020263671875,20.25,74.61571502685547,47.88847351074219,27.08631134033203,,
2014-07-31,86.96021270751953,158.72036743164062,20.048933029174805,123.38999938964844,8.603375434875488,83.29686737060547,20.382646560668945,,145.56890869140625,25.501136779785156,47.5362548828125,39.663516998291016,58.713043212890625,21.48883819580078,31.191143035888672,19.579999923706055,74.5993881225586,45.58820724487305,26.387062072753906,,
2014-08-31,91.31646728515625,164.98406982421875,20.467744827270508,123.86000061035156,8.898466110229492,87.25205993652344,20.515933990478516,,151.35183715820312,24.18787384033203,48.79579162597656,39.953948974609375,59.38325881958008,22.77570343017578,32.38970184326172,18.709999084472656,74.61571502685547,48.25706100463867,26.561878204345703,,
2014-09-30,90.62554168701172,162.70791625976562,17.522550582885742,116.20999908447266,8.877909660339355,87.52018737792969,19.9808349609375,,149.26226806640625,21.370330810546875,47.16800308227539,38.36579132080078,59.04380798339844,22.51568031311035,30.0687198638916,16.350000381469727,74.61571502685547,47.88479232788086,25.50328254699707,,
2014-10-31,93.01983642578125,166.53985595703125,15.536574363708496,112.66000366210938,9.052886962890625,90.73795318603516,20.16725730895996,,152.8494110107422,19.77054786682129,47.613304138183594,37.63626480102539,59.47057342529297,22.661115646362305,30.739171981811523,15.5,74.5993881225586,49.49607849121094,25.50328254699707,,
2014-11-30,97.24885559082031,171.11502075195312,17.387449264526367,112.11000061035156,9.322267532348633,95.40074157714844,20.20417594909668,,157.06463623046875,19.0064640045166,48.21480941772461,38.414424896240234,59.96479034423828,24.481231689453125,30.40034294128418,14.829999923706055,74.5993881225586,50.80915069580078,25.55183982849121,,
2014-12-31,95.06983947753906,170.68099975585938,15.986828804016113,113.58000183105469,9.237875938415527,95.12018585205078,20.02328872680664,,155.71743774414062,17.98703384399414,47.259246826171875,36.61282730102539,59.99887466430664,24.350679397583008,28.97751235961914,15.0600004196167,74.58308410644531,51.16108703613281,25.032575607299805,,
