Date,FX
2014-02-03,0.1288156807422638
2014-02-04,0.1287788450717926
2014-02-05,0.12881170213222504
2014-02-06,0.12883958220481873
2014-02-07,0.12888558208942413
2014-02-10,0.12890219688415527
2014-02-11,0.1289213001728058
2014-02-12,0.12893609702587128
2014-02-13,0.12893958389759064
2014-02-14,0.12893842160701752
2014-02-17,0.1289573758840561
2014-02-18,0.12895454466342926
2014-02-19,0.1289612054824829
2014-02-20,0.12895172834396362
2014-02-21,0.12894608080387115
2014-02-24,0.12894009053707123
2014-02-25,0.12889903783798218
2014-02-26,0.12886148691177368
2014-02-27,0.12885801494121552
2014-02-28,0.12885701656341553
2014-03-03,0.12885867059230804
2014-03-04,0.1288546919822693
2014-03-05,0.1288585066795349
2014-03-06,0.1288631558418274
2014-03-07,0.1288568526506424
2014-03-10,0.12885618209838867
2014-03-11,0.12885434925556183
2014-03-12,0.12883958220481873
2014-03-13,0.1288072168827057
2014-03-14,0.12878300249576569
2014-03-17,0.12878432869911194
2014-03-18,0.12876741588115692
2014-03-19,0.1287636011838913
2014-03-20,0.12878498435020447
2014-03-21,0.12880373001098633
2014-03-24,0.12889620661735535
2014-03-25,0.12891846895217896
2014-03-26,0.12893077731132507
2014-03-27,0.12889371812343597
2014-03-28,0.1288997083902359
2014-03-31,0.1289144903421402
2014-04-01,0.12892894446849823
2014-04-02,0.1289188116788864
2014-04-03,0.12893077731132507
2014-04-04,0.12892529368400574
2014-04-07,0.12893444299697876
2014-04-08,0.12895222008228302
2014-04-09,0.12896768748760223
2014-04-10,0.128987655043602
2014-04-11,0.12898282706737518
2014-04-14,0.12898282706737518
2014-04-15,0.1289723515510559
2014-04-16,0.12896785140037537
2014-04-17,0.12896601855754852
2014-04-18,0.12896619737148285
2014-04-21,0.12897151708602905
2014-04-22,0.12897267937660217
2014-04-23,0.1289941519498825
2014-04-24,0.12898965179920197
2014-04-25,0.12898549437522888
2014-04-28,0.12898331880569458
2014-04-29,0.12898732721805573
2014-04-30,0.12898431718349457
2014-05-01,0.12899348139762878
2014-05-02,0.1289883255958557
2014-05-05,0.12899647653102875
2014-05-06,0.12899397313594818
2014-05-07,0.1290062814950943
2014-05-08,0.12900012731552124
2014-05-09,0.12901078164577484
2014-05-12,0.12901128828525543
2014-05-13,0.12901277840137482
2014-05-14,0.12901178002357483
2014-05-15,0.12901245057582855
2014-05-16,0.12900811433792114
2014-05-19,0.12899713218212128
2014-05-20,0.12900479137897491
2014-05-21,0.12900063395500183
2014-05-22,0.12899281084537506
2014-05-23,0.12897783517837524
2014-05-26,0.12898431718349457
2014-05-27,0.128975510597229
2014-05-28,0.12900228798389435
2014-05-29,0.12897400557994843
2014-05-30,0.12899315357208252
2014-06-02,0.12899315357208252
2014-06-03,0.1289818286895752
2014-06-04,0.12899364531040192
2014-06-05,0.12899048626422882
2014-06-06,0.1289941519498825
2014-06-09,0.12900562584400177
2014-06-10,0.12901227176189423
2014-06-11,0.12901277840137482
2014-06-12,0.1290111243724823
2014-06-13,0.1290062814950943
2014-06-16,0.1290142834186554
2014-06-17,0.1290121078491211
2014-06-18,0.12901827692985535
2014-06-19,0.12901461124420166
2014-06-20,0.12903259694576263
2014-06-23,0.1290142834186554
2014-06-24,0.12902043759822845
2014-06-25,0.1290062814950943
2014-06-26,0.12901528179645538
2014-06-27,0.1290101259946823
2014-06-30,0.12901310622692108
2014-07-01,0.1290319263935089
2014-07-02,0.12901677191257477
2014-07-03,0.1290355771780014
2014-07-04,0.12903276085853577
2014-07-07,0.1290329247713089
2014-07-08,0.12903492152690887
2014-07-09,0.12903742492198944
2014-07-10,0.12903541326522827
2014-07-11,0.12903858721256256
2014-07-14,0.1290377527475357
2014-07-15,0.12903842329978943
2014-07-16,0.1290387511253357
2014-07-17,0.12902259826660156
2014-07-18,0.12902559340000153
2014-07-21,0.1290212720632553
2014-07-22,0.12900546193122864
2014-07-23,0.12901261448860168
2014-07-24,0.12902893126010895
2014-07-25,0.12903426587581635
2014-07-28,0.12903808057308197
2014-07-29,0.12903907895088196
2014-07-30,0.12904025614261627
2014-07-31,0.12903907895088196
2014-08-01,0.12903858721256256
2014-08-04,0.12903659045696259
2014-08-05,0.12903209030628204
2014-08-06,0.12903791666030884
2014-08-07,0.1290339231491089
2014-08-08,0.12902626395225525
2014-08-11,0.12901444733142853
2014-08-12,0.12901128828525543
2014-08-13,0.12901760637760162
2014-08-14,0.12901461124420166
2014-08-15,0.12902559340000153
2014-08-18,0.12903109192848206
2014-08-19,0.1290302574634552
