Date,ROBO,VWO,SCHP,URA,QQQ,SLV,ITA,VOO,SMH,VT,VDC,BBJP,BND,ARMY.PA,GLD,SCHD,VGK,SPY,BIL,COPX,CIBR
2014-04-30,-0.041161299784782,0.008871252125978613,0.013531342571307281,-0.10755818558631036,-0.00319377815364974,-0.030462279578027163,-0.004397167837233762,0.007236396266612433,-0.020609459971096533,0.007374113472827348,0.02554400966240733,,0.008024499881498226,,0.0049348807324614,0.018182050172606434,0.026463003266694596,0.006951500175787162,0.0,0.021929437328173318,
2014-05-31,0.008432229879848707,0.031020821390379316,0.019308223283427628,-0.02149833292818859,0.0448560591075331,-0.020585004312715927,0.011409301133486816,0.022944608261587618,0.03738534530041071,0.020462150526900258,0.020506921478150586,,0.010531113178176676,,-0.03051039187154414,0.01332594712363,0.007767177758019939,0.023206068369693744,0.0,0.06330512281359768,
2014-06-30,0.06005311975353611,0.03173096607299053,0.0040019239730211265,-0.0366179326778967,0.031238508321154157,0.12002212862007222,-0.01296435666793827,0.02088941817547818,0.06797595595405448,0.022065194267700594,-0.0009489297861745571,,0.0008409200188961297,,0.06319017654797743,0.01359546622720198,-0.0008865755199977121,0.020644875004743213,-0.00021825425424570888,0.02623600848718155,
2014-07-31,-0.025815458685872428,0.013679378554712462,-0.0006658249716345876,0.025570236828954318,0.01181963024274335,-0.03308642352068869,-0.04803405791259863,-0.013765615372846152,-0.014750659684369394,-0.017515746045532188,-0.03461657797479423,,-0.002779999939096167,,-0.03631673024297155,-0.017245409986184623,-0.04320275283819264,-0.013437371367220674,-0.00021901764349696595,0.05014748080880094,
2014-08-31,0.006624853083829985,0.03842638172240931,0.0065394449252744735,0.020889288369901893,0.05009488025628239,-0.04443313802979454,0.05854264931712616,0.039726717067070094,0.059885109094879097,0.026496747019441935,0.04748290580402603,,0.011415305277681531,,0.0038090706137288155,0.034298952168291486,0.007322011246299942,0.03946335968171977,0.00021906562273343866,-0.051498065922365055,
2014-09-30,-0.03985366726910988,-0.07165766904894089,-0.02608275512761682,-0.14389424575099863,-0.0075666083355926395,-0.1261356931311387,-0.007714206845436666,-0.01380623603437281,-0.011416355679989332,-0.03335919420403788,0.0030731093098292916,,-0.00571588727460115,,-0.061763293138879294,-0.0023101118595709735,-0.03974943295978761,-0.013796479522207639,0.0,-0.11648567868580573,
2014-10-31,0.0,0.022296812335173444,0.009329867920182311,-0.11333856689290278,0.026419648321711398,-0.05198778970262741,0.03364954927259123,0.024032074251905344,0.006459035860537865,0.009440176643217502,0.036766074369881,,0.007227685932979844,,-0.03054810644807593,0.019709829950322,-0.019014928468810033,0.023551322147159492,-0.00021901764349696595,-0.07486025342259739,
2014-11-30,0.0019038870947163389,-0.011022651339706702,0.0018302449683396116,0.11913038610358084,0.045463630924284626,-0.04322581137380288,0.026528808790867275,0.027578244677744612,0.0803191663966265,0.012633540244282315,0.051387073543254225,,0.008310277204024885,,-0.00488197260677703,0.02975546117604333,0.0206761096889041,0.02747189114960147,0.0,-0.03864758534594703,
2014-12-31,-0.020321989519220818,-0.04680348895325004,-0.008952779246280462,-0.08055358741101248,-0.022406051621134182,0.015509136688732106,0.006926857204979653,-0.008577737752091363,-0.005332905136476884,-0.019818702462959914,-0.002940413913160911,,0.0005684692089886756,,0.013112132840068735,-0.009052386358730624,-0.046899369758872655,-0.0025364283870958904,-0.00021865653660313455,-0.053636077175193586,
2015-01-31,-0.03307381685500588,-0.001998807968771499,0.030973431517441696,-0.10925102085471428,-0.02082328866062111,0.09827360256795492,-0.00244147276640172,-0.028715261473287512,-0.03460249026202322,-0.01630062161335344,-0.014372620731794794,,0.024037494091082134,,0.08689905756357263,-0.0311170652614009,0.005151684255360944,-0.029629483941622126,-0.00021819288824165284,-0.17119573285668965,
2015-02-28,0.06036196882179001,0.046570191584486276,-0.013232964274729198,0.09000993504882304,0.07220558813938038,-0.04050791976312895,0.07796532029363101,0.05579549909635273,0.08040952836781345,0.05951971258049493,0.042773909903012663,,-0.013067650374090078,,-0.05905219494812319,0.05231803920962741,0.06093408533827738,0.05620470813377376,0.0,0.1836065835950047,
2015-03-31,0.01062609359318345,-0.020552744989474014,-0.004711841429990815,-0.06624319274279222,-0.02358999273764828,0.003780744804623204,0.0077449476553672625,-0.015707825876900228,-0.02931371190641674,-0.0121375697599313,-0.01344027345037957,,0.005451517123049365,,-0.021522037888980217,-0.023462947831202507,-0.024379966048289625,-0.015705681926620363,0.0,-0.06094172944095455,
2015-04-30,-0.001126463155705748,0.07413758592195419,0.006736955433512382,0.14091340761188587,0.019223696527973066,-0.0313873189216165,-0.029730111882005916,0.010042309672005478,0.0028933028989042153,0.025490971758040493,-0.011417993369773782,,-0.003233954627779867,,-0.0016716737223684275,0.0076121223683793815,0.0424201146591896,0.009833813793109547,-0.0002187520878904614,0.17846622898970432,
2015-05-31,0.0012030433418779296,-0.03553565668518488,-0.010671149657187629,-0.06643949254115589,0.022484531645032835,0.03629290050982936,0.012156554087148885,0.012506822991301236,0.07843480461093066,0.0033249325755475567,0.011709582197402257,,-0.004966319567894173,,0.005552104050766671,0.005036581977587717,0.002830769715548298,0.012856092047790257,-0.0002186976122252604,-0.08886100910701189,
2015-06-30,-0.016971998625022744,-0.025530942848369764,-0.008957687336426656,-0.15875915542674746,-0.02484093375553187,-0.06003752669721529,-0.01799073842802701,-0.019469761779728034,-0.0876107637346244,-0.02220281257519585,-0.016691742203706728,,-0.011122715826360041,,-0.015162101232906178,-0.033114275899740364,-0.03272741520478373,-0.020312261600165082,0.0,-0.05631900146249702,
2015-07-31,-0.048892313956899525,-0.06262245786990384,0.00424288190011568,-0.1149674569416097,0.045577744939677034,-0.0632069079270261,-0.009233047477863798,0.021764158717668236,-0.044346716077560355,0.0050390148828767245,0.04892320685286844,,0.008791501682340996,,-0.06620986259282224,0.007051362625607238,0.026676388347887547,0.022589452159333057,0.0,-0.18340593544253392,
2015-08-31,-0.0566265858985332,-0.09864275040458848,-0.010287018356259892,-0.025735301438906677,-0.06824476641547073,-0.006392056326389617,-0.03863103580229865,-0.06136257472292472,-0.049856039278601605,-0.06631108405297192,-0.055725174449812176,,-0.0024617268133323433,,0.03707232801234017,-0.053163865618676365,-0.0701912945234161,-0.06094985429114652,0.0,-0.07486638343953189,-0.10581181462989553
2015-09-30,-0.05363984003590627,-0.028817026440726812,-0.0038970925905663645,-0.1257863381391967,-0.022073231847609787,-0.00857754735684968,-0.03707301902234117,-0.024656256529889342,0.00665989219734997,-0.03710915750124877,-0.00034204169985307953,,0.008096492270178723,,-0.01801138660144541,-0.007160481021382448,-0.04119884109357841,-0.025516497737988253,-0.00043779798565835026,-0.1830442250128328,-0.03574606238362266
2015-10-31,0.08187129506102098,0.0528864847298498,0.0031671272618332136,0.06618746330912573,0.11369931331049532,0.06705121217369747,0.08457192117283951,0.08451440657512288,0.08680828952970665,0.0728624192911167,0.05813952732704486,,0.00029298055933435485,,0.022833636790845047,0.08762188411184102,0.05896715051673196,0.08506030871446146,-0.0002189436654261856,0.188679082051318,0.045322650943145026
2015-11-30,0.03326429276544518,-0.022962497118354963,-0.0012996439917831726,-0.07557370943702135,0.006088014852386525,-0.09189193194760592,0.014462184121161625,0.0042504302058727905,0.029330269734590297,-0.0008424383800135216,-0.00911845726220728,,-0.003932421593918267,,-0.06752062833262484,0.002813144779715282,-0.012480956083784078,0.0036548222819692278,0.00021899161225258368,-0.16534394340578928,0.03613143942005048
2015-12-31,-0.02338416963818324,-0.034367701135140316,-0.00918650643225527,0.04171710509343507,-0.015947476237937797,-0.01860119105694724,-0.012553052630938977,-0.01738228414947751,-0.024448462225147294,-0.021840688504914718,0.02223606828014213,,-0.0017616556634717506,,-0.004513334897339294,-0.009511688213126646,-0.026150185152917227,-0.017282456230635956,-0.0002189436654261856,-0.05308940927949868,-0.041677525748829214
