Date,cash
2014-04-30,0.0
2014-05-31,0.0
2014-06-30,-0.00021825425424570888
2014-07-31,-0.00021901764349696595
2014-08-31,0.00021906562273343866
2014-09-30,0.0
2014-10-31,-0.00021901764349696595
2014-11-30,0.0
2014-12-31,-0.00021865653660313455
2015-01-31,-0.00021819288824165284
2015-02-28,0.0
2015-03-31,0.0
2015-04-30,-0.0002187520878904614
2015-05-31,-0.0002186976122252604
2015-06-30,0.0
2015-07-31,0.0
2015-08-31,0.0
2015-09-30,-0.00043779798565835026
2015-10-31,-0.0002189436654261856
2015-11-30,0.00021899161225258368
2015-12-31,-0.0002189436654261856
2016-01-31,0.00021899161225258368
2016-02-29,0.0
2016-03-31,0.0
2016-04-30,0.00043798973668285335
2016-05-31,0.0
2016-06-30,-0.0002187454513331577
2016-07-31,0.0004375866227497305
2016-08-31,0.0
2016-09-30,0.00021879995083651238
2016-10-31,0.00021824050676810813
2016-11-30,-0.00043689724598228175
2016-12-31,0.00021910696667015728
2017-01-31,0.00043729940910353093
2017-02-28,0.0005029710884691951
2017-03-31,-0.00017438741564801408
2017-04-30,0.0007432694244313698
2017-05-31,0.0001537537365734476
2017-06-30,0.0010281019644255984
2017-07-31,0.000327654732932281
2017-08-31,0.0011388163470946733
2017-09-30,0.0007219039516217496
2017-10-31,0.0006997976868901024
2017-11-30,0.0005468910490264989
2017-12-31,0.0007437720530854008
2018-01-31,0.0013127768273295537
2018-02-28,0.000831346723847437
2018-03-31,0.0013013477984316069
2018-04-30,0.001039299874621813
2018-05-31,0.0014981011979549042
2018-06-30,0.0014872743797997856
2018-07-31,0.0013886433223029293
2018-08-31,0.0015857410614976697
2018-09-30,0.0013996063041614715
2018-10-31,0.0017062418163706905
2018-11-30,0.001859523892110193
2018-12-31,0.0018268540236867636
2019-01-31,0.0017498107259932283
2019-02-28,0.0018483549312080516
2019-03-31,0.0017493038662332872
2019-04-30,0.0019250765033369532
2019-05-31,0.0021219736218847096
2019-06-30,0.0018156899557515427
2019-07-31,0.0018044977328219858
2019-08-31,0.0016947697080076374
2019-09-30,0.001617986171675856
2019-10-31,0.0016077078788594434
2019-11-30,0.0010823155312769117
2019-12-31,0.001116033693868701
2020-01-31,0.001202794100386484
2020-02-29,0.0011814032289667598
2020-03-31,0.0020449716013601904
2020-04-30,-0.0001967703734573334
2020-05-31,-0.00017448652223206462
2020-06-30,0.0
2020-07-31,0.00010938996860843098
2020-08-31,0.0
2020-09-30,-0.00021875600750398405
2020-10-31,0.00010940193608277582
2020-11-30,-0.00010938996860843098
2020-12-31,3.266457093387132e-05
2021-01-31,0.0
2021-02-28,-0.00010939836263212932
2021-03-31,-0.00010911779094879837
2021-04-30,0.0
2021-05-31,-0.0001093247475534298
2021-06-30,-0.00021857586655182892
2021-07-31,-0.00010926304805658482
2021-08-31,-0.00010927498777490996
2021-09-30,0.0001092869301027033
2021-10-31,-0.00010927498777490996
2021-11-30,-0.00021886659305414558
2021-12-31,0.0
2022-01-31,0.0
2022-02-28,-0.0002185241102169444
2022-03-31,0.0004592059368766499
2022-04-30,-0.00010918698725292941
2022-05-31,0.0003281822480045715
2022-06-30,0.0007765309708060997
2022-07-31,0.00036086521089750967
2022-08-31,0.0019376596851803374
2022-09-30,0.0020671515468624335
2022-10-31,0.001585768746991345
2022-11-30,0.0031514965466097333
2022-12-31,0.0036259287959041764
2023-01-31,0.0028426593123584976
2023-02-28,0.0034574748350537643
2023-03-31,0.003991017532530172
2023-04-30,0.0036303942563007396
2023-05-31,0.003751477411783277
2023-06-30,0.004606311263935181
2023-07-31,0.0038601973916441157
2023-08-31,0.004966825163609689
2023-09-30,0.003991312175718242
2023-10-31,0.004309636204550049
2023-11-30,0.004681642221596727
2023-12-31,0.004275383749747119
2024-01-31,0.004267179276006505
2024-02-29,0.004443199213020277
2024-03-31,0.004101875174108871
2024-04-30,0.004321989484233457
2024-05-31,0.004573050888410535
2024-06-30,0.003992840708271883
2024-07-31,0.004508295526575612
2024-08-31,0.004617184790707718
2024-09-30,0.00422215749989463
2024-10-31,0.003947986917430812
2024-11-30,0.003707099350491072
2024-12-31,0.004031559188183875
2025-01-31,0.003499674452943191
2025-02-28,0.0032376880582343226
2025-03-31,0.0032703661131736617
2025-04-30,0.003402302700150406
2025-05-31,0.0036319807345013277
2025-06-30,0.0033471244001426204
2025-07-31,0.0035656740887259897
2025-08-31,0.003707761297703671
2025-09-30,0.0033024124937865995
2025-10-31,0.003510561608707885
2025-11-30,0.002875699592959524
2025-12-31,0.0033519280914957594
2026-01-31,0.0029547300795138565
2026-02-28,-0.00032735470025258007
2026-03-31,0.0009083268667540167
