Date,ROBO,VWO,SCHP,URA,QQQ,SLV,ITA,VOO,SMH,VT,VDC,BBJP,BND,ARMY.PA,GLD,SCHD,VGK,SPY,BIL,COPX,CIBR
2014-03-31,26.425907135009766,28.672197341918945,19.664039611816406,23.2373104095459,80.0186538696289,19.040000915527344,48.182029724121094,140.3221435546875,20.10061264038086,46.05035400390625,82.522216796875,,57.75074768066406,,123.61000061035156,8.37114143371582,40.11003112792969,152.9895782470703,74.63202667236328,21.77625274658203,
2014-04-30,25.33818244934082,28.926555633544922,19.93012046813965,20.737947463989258,79.76309204101562,18.459999084472656,47.97016525268555,141.3375701904297,19.686349868774414,46.38993453979492,84.63016510009766,,58.214168548583984,,124.22000122070312,8.523345947265625,41.17146301269531,154.05308532714844,74.63202667236328,22.253793716430664,
2014-05-31,25.55183982849121,29.823881149291992,20.3149356842041,20.292116165161133,83.34095001220703,18.079999923706055,48.51747131347656,144.58050537109375,20.422330856323242,47.33917236328125,86.36566925048828,,58.82722854614258,,120.43000030517578,8.636927604675293,41.491249084472656,157.6280517578125,74.63202667236328,23.662572860717773,
2014-06-30,27.086307525634766,30.770221710205078,20.3962345123291,19.549060821533203,85.94439697265625,20.25,47.88847351074219,147.6007080078125,21.810558319091797,48.38372039794922,86.2837142944336,,58.8766975402832,,128.0399932861328,8.754350662231445,41.454463958740234,160.88226318359375,74.61573791503906,24.283384323120117,
2014-07-31,26.387062072753906,31.191139221191406,20.382654190063477,20.048934936523438,86.9602279663086,19.579999923706055,45.58819580078125,145.5688934326172,21.48883819580078,47.5362434387207,83.29686737060547,,58.71302032470703,,123.38999938964844,8.603378295898438,39.663516998291016,158.72042846679688,74.59939575195312,25.501134872436523,
2014-08-31,26.561872482299805,32.38970184326172,20.515945434570312,20.467742919921875,91.31649017333984,18.709999084472656,48.257049560546875,151.35186767578125,22.775699615478516,48.795799255371094,87.25204467773438,,59.38324737548828,,123.86000061035156,8.898465156555176,39.95393371582031,164.98406982421875,74.61573791503906,24.187875747680664,
2014-09-30,25.503284454345703,30.0687313079834,19.980833053588867,17.522552490234375,90.62553405761719,16.350000381469727,47.88478469848633,149.26226806640625,22.515684127807617,47.16801071166992,87.52017974853516,,59.043819427490234,,116.20999908447266,8.877908706665039,38.365787506103516,162.70787048339844,74.61573791503906,21.37033462524414,
2014-10-31,25.503284454345703,30.739168167114258,20.167251586914062,15.536571502685547,93.01982879638672,15.5,49.49608612060547,152.84934997558594,22.661113739013672,47.613285064697266,90.73795318603516,,59.4705696105957,,112.66000366210938,9.05289077758789,37.63626480102539,166.53985595703125,74.59939575195312,19.770545959472656,
2014-11-30,25.55183982849121,30.400341033935547,20.20416259765625,17.387449264526367,97.24884796142578,14.829999923706055,50.80915832519531,157.06466674804688,24.48123550415039,48.21480941772461,95.40071105957031,,59.964786529541016,,112.11000061035156,9.322263717651367,38.41443634033203,171.11502075195312,74.59939575195312,19.00646209716797,
2014-12-31,25.032575607299805,28.97749900817871,20.023279190063477,15.986827850341797,95.06988525390625,15.0600004196167,51.16110610961914,155.7174072265625,24.350679397583008,47.259254455566406,95.12019348144531,,59.99887466430664,,113.58000183105469,9.237874984741211,36.612823486328125,170.68099975585938,74.58308410644531,17.987030029296875,
